-38.03	Yaw : -3.82	Label : 3
Roll : 9.34	Pitch : -70.63	Yaw : -2.58	Label : 3
Roll : 9.26	Pitch : -70.76	Yaw : -2.61	Label : 3
Roll : 9.57	Pitch : -71.19	Yaw : -2.70	Label : 3
Roll : 9.52	Pitch : -71.25	Yaw : -2.69	Label : 3
Roll : 9.28	Pitch : -71.82	Yaw : -2.63	Label : 3
Roll : 9.58	Pitch : -71.89	Yaw : -2.86	Label : 3
Roll : 9.53	Pitch : -72.14	Yaw : -2.90	Label : 3
Roll : 9.54	Pitch : -72.58	Yaw : -2.95	Label : 3
Roll : 9.49	Pitch : -72.12	Yaw : -2.94	Label : 3
Roll : 9.65	Pitch : -72.61	Yaw : -3.00	Label : 3
Roll : 9.60	Pitch : -72.82	Yaw : -3.04	Label : 3
Roll : 9.76	Pitch : -72.78	Yaw : -3.09	Label : 3
Roll : 9.87	Pitch : -72.61	Yaw : -3.09	Label : 3
Roll : 9.89	Pitch : -73.58	Yaw : -3.04	Label : 3
Roll : 10.03	Pitch : -73.04	Yaw : -3.13	Label : 3
Roll : 9.88	Pitch : -73.84	Yaw : -3.12	Label : 3
Roll : 9.92	Pitch : -73.63	Yaw : -3.27	Label : 3
Roll : 9.75	Pitch : -73.74	Yaw : -3.32	Label : 3
Roll : 9.96	Pitch : -73.81	Yaw : -3.42	Label : 3
Roll : 9.88	Pitch : -73.99	Yaw : -3.38	Label : 3
Roll : 9.97	Pitch : -74.08	Yaw : -3.38	Label : 3
Roll : 9.84	Pitch : -74.08	Yaw : -3.43	Label : 3
Roll : 9.92	Pitch : -73.94	Yaw : -3.53	Label : 3
Roll : 9.62	Pitch : -74.32	Yaw : -3.44	Label : 3
Roll : 9.90	Pitch : -74.19	Yaw : -3.63	Label : 3
Roll : 9.92	Pitch : -74.30	Yaw : -3.63	Label : 3
Roll : 10.07	Pitch : -74.40	Yaw : -3.65	Label : 3
Roll : 10.07	Pitch : -74.23	Yaw : -3.66	Label : 3
Roll : 9.99	Pitch : -74.41	Yaw : -3.64	Label : 3
Roll : 10.25	Pitch : -74.02	Yaw : -3.69	Label : 3
Roll : 10.15	Pitch : -74.37	Yaw : -3.84	Label : 3
Roll : 10.48	Pitch : -74.20	Yaw : -3.85	Label : 3
Roll : 10.48	Pitch : -73.99	Yaw : -3.75	Label : 3
Roll : 10.71	Pitch : -74.34	Yaw : -3.92	Label : 3
Roll : 10.58	Pitch : -74.09	Yaw : -3.87	Label : 3
Roll : 10.65	Pitch : -73.99	Yaw : -3.78	Label : 3
Roll : 10.78	Pitch : -74.08	Yaw : -3.89	Label : 3
Roll : 10.45	Pitch : -73.85	Yaw : -3.89	Label : 3
Roll : 10.73	Pitch : -73.91	Yaw : -3.95	Label : 3
Roll : 10.63	Pitch : -73.52	Yaw : -3.88	Label : 3
Roll : 10.94	Pitch : -73.25	Yaw : -3.99	Label : 3
Roll : 10.78	Pitch : -73.48	Yaw : -3.90	Label : 3
Roll : 10.80	Pitch : -73.26	Yaw : -3.95	Label : 3
Roll : 10.50	Pitch : -73.53	Yaw : -3.86	Label : 3
Roll : 10.79	Pitch : -73.47	Yaw : -3.82	Label : 3
Roll : 10.84	Pitch : -73.28	Yaw : -3.85	Label : 3
Roll : 10.91	Pitch : -73.64	Yaw : -3.83	Label : 3
Roll : 10.83	Pitch : -74.09	Yaw : -3.75	Label : 3
Roll : 10.83	Pitch : -73.82	Yaw : -3.81	Label : 3
Roll : 10.77	Pitch : -74.26	Yaw : -3.74	Label : 3
Roll : 10.91	Pitch : -74.45	Yaw : -3.68	Label : 3
Roll : 10.95	Pitch : -74.64	Yaw : -3.81	Label : 3
Roll : 10.83	Pitch : -74.45	Yaw : -3.74	Label : 3
Roll : 11.22	Pitch : -74.50	Yaw : -3.89	Label : 3
Roll : 11.35	Pitch : -74.58	Yaw : -3.87	Label : 3
Roll : 11.43	Pitch : -74.91	Yaw : -3.87	Label : 3
Roll : 11.31	Pitch : -74.78	Yaw : -3.82	Label : 3
Roll : 11.46	Pitch : -74.58	Yaw : -3.93	Label : 3
Roll : 11.48	Pitch : -74.58	Yaw : -3.92	Label : 3
Roll : 11.48	Pitch : -74.64	Yaw : -3.98	Label : 3
Roll : 11.60	Pitch : -74.54	Yaw : -4.01	Label : 3
Roll : 11.31	Pitch : -74.57	Yaw : -4.07	Label : 3
Roll : 11.35	Pitch : -74.55	Yaw : -4.11	Label : 3
Roll : 11.40	Pitch : -74.43	Yaw : -4.19	Label : 3
Roll : 11.59	Pitch : -74.32	Yaw : -4.32	Label : 3
Roll : 11.49	Pitch : -73.92	Yaw : -4.19	Label : 3
Roll : 11.62	Pitch : -74.04	Yaw : -4.25	Label : 3
Roll : 11.45	Pitch : -73.75	Yaw : -4.16	Label : 3
Roll : 11.51	Pitch : -73.80	Yaw : -4.17	Label : 3
Roll : 11.42	Pitch : -73.83	Yaw : -4.18	Label : 3
Roll : 11.58	Pitch : -73.87	Yaw : -4.29	Label : 3
Roll : 11.74	Pitch : -73.66	Yaw : -4.31	Label : 3
Roll : 11.64	Pitch : -73.91	Yaw : -4.30	Label : 3
Roll : 11.59	Pitch : -73.93	Yaw : -4.22	Label : 3
Roll : 11.59	Pitch : -74.01	Yaw : -4.31	Label : 3
Roll : 11.62	Pitch : -74.19	Yaw : -4.40	Label : 3
Roll : 11.70	Pitch : -74.19	Yaw : -4.43	Label : 3
Roll : 11.65	Pitch : -74.32	Yaw : -4.33	Label : 3
